date,num
26.01.2010,381575
27.01.2010,381575
28.01.2010,210120
29.01.2010,381335
30.01.2010,381349
31.01.2010,381349
01.02.2010,381429
02.02.2010,381429
03.02.2010,381429
04.02.2010,381429
05.02.2010,381429
06.02.2010,381349
07.02.2010,381349
08.02.2010,381349
09.02.2010,381429
10.02.2010,381429
11.02.2010,381429
12.02.2010,381429
13.02.2010,381429
14.02.2010,381429
15.02.2010,381429
16.02.2010,381429
17.02.2010,381429
18.02.2010,381429
19.02.2010,381429
20.02.2010,381429
21.02.2010,381429
22.02.2010,381429
23.02.2010,381429
24.02.2010,381429
25.02.2010,381429
26.02.2010,381429
27.02.2010,381429
28.02.2010,381429
01.03.2010,381429
02.03.2010,381429
03.03.2010,381429
04.03.2010,381429
05.03.2010,381429
06.03.2010,94
07.03.2010,182585
08.03.2010,381429
09.03.2010,381429
10.03.2010,381429
11.03.2010,381429
12.03.2010,381429
13.03.2010,381429
14.03.2010,381575
15.03.2010,381575
16.03.2010,381575
17.03.2010,381575
18.03.2010,381575
19.03.2010,381575
20.03.2010,381575
21.03.2010,381575
22.03.2010,381575
23.03.2010,381575
24.03.2010,381575
25.03.2010,381575
26.03.2010,381575
27.03.2010,397210
28.03.2010,365940
29.03.2010,381575
30.03.2010,381575
31.03.2010,381575
01.04.2010,381575
02.04.2010,381575
03.04.2010,381575
04.04.2010,381575
05.04.2010,381575
06.04.2010,381575
07.04.2010,381575
08.04.2010,381575
09.04.2010,381575
10.04.2010,381575
11.04.2010,381575
12.04.2010,381575
13.04.2010,381575
14.04.2010,381575
15.04.2010,381575
16.04.2010,381575
17.04.2010,381575
18.04.2010,381575
19.04.2010,381575
20.04.2010,381575
21.04.2010,381575
22.04.2010,381575
23.04.2010,381575
24.04.2010,381575
25.04.2010,381575
26.04.2010,381575
27.04.2010,381575
28.04.2010,381575
29.04.2010,381575
30.04.2010,381575
01.05.2010,381575
02.05.2010,381575
03.05.2010,381575
04.05.2010,381575
05.05.2010,381575
06.05.2010,381575
07.05.2010,381575
08.05.2010,381575
09.05.2010,381575
10.05.2010,381575
11.05.2010,381575
12.05.2010,381575
13.05.2010,381575
14.05.2010,381575
15.05.2010,381575
16.05.2010,381575
17.05.2010,381575
18.05.2010,381575
19.05.2010,381575
20.05.2010,381575
21.05.2010,381575
22.05.2010,381575
23.05.2010,381575
24.05.2010,381575
25.05.2010,381575
26.05.2010,381575
27.05.2010,381575
28.05.2010,381575
29.05.2010,381575
30.05.2010,381575
31.05.2010,381575
01.06.2010,381575
02.06.2010,381575
03.06.2010,381575
04.06.2010,381575
05.06.2010,381575
06.06.2010,381575
07.06.2010,381575
08.06.2010,381575
09.06.2010,381575
10.06.2010,381575
11.06.2010,381575
12.06.2010,381575
13.06.2010,381575
14.06.2010,381575
15.06.2010,381575
16.06.2010,381575
17.06.2010,381575
18.06.2010,284320
19.06.2010,381429
20.06.2010,381429
21.06.2010,381429
22.06.2010,381429
23.06.2010,381429
24.06.2010,381429
25.06.2010,381429
26.06.2010,381429
27.06.2010,381429
28.06.2010,381429
29.06.2010,381429
30.06.2010,381429
01.07.2010,381429
02.07.2010,381429
03.07.2010,381429
04.07.2010,381429
05.07.2010,381429
06.07.2010,381429
07.07.2010,381429
08.07.2010,381429
09.07.2010,381429
10.07.2010,381429
11.07.2010,381429
12.07.2010,381429
13.07.2010,381429
14.07.2010,381429
15.07.2010,381429
16.07.2010,381429
17.07.2010,381429
18.07.2010,381429
19.07.2010,381429
20.07.2010,381429
21.07.2010,361965
22.07.2010,381600
23.07.2010,381600
24.07.2010,381335
25.07.2010,381335
26.07.2010,381335
27.07.2010,381342
28.07.2010,381349
29.07.2010,381349
30.07.2010,381349
31.07.2010,381349
01.08.2010,381349
02.08.2010,381349
03.08.2010,381349
04.08.2010,381429
05.08.2010,381429
06.08.2010,381429
07.08.2010,381429
08.08.2010,381429
09.08.2010,381429
10.08.2010,381429
11.08.2010,381429
12.08.2010,381429
13.08.2010,381429
14.08.2010,381429
15.08.2010,381429
16.08.2010,381429
17.08.2010,381429
18.08.2010,381429
19.08.2010,381429
20.08.2010,381429
21.08.2010,381429
22.08.2010,381429
23.08.2010,381429
24.08.2010,381429
25.08.2010,381429
26.08.2010,381429
27.08.2010,381429
28.08.2010,381422
29.08.2010,381575
30.08.2010,381429
31.08.2010,381575
01.09.2010,381575
02.09.2010,381575
03.09.2010,381575
04.09.2010,381575
05.09.2010,381575
06.09.2010,381575
07.09.2010,381568
08.09.2010,381575
09.09.2010,381575
10.09.2010,381575
11.09.2010,381575
12.09.2010,381429
13.09.2010,381429
14.09.2010,381429
15.09.2010,381422
16.09.2010,381429
17.09.2010,381429
18.09.2010,381429
19.09.2010,381429
20.09.2010,381429
21.09.2010,381429
22.09.2010,94
23.09.2010,0
24.09.2010,145213
25.09.2010,381575
26.09.2010,381575
27.09.2010,381575
28.09.2010,381575
29.09.2010,381575
30.09.2010,381575
01.10.2010,381575
02.10.2010,381575
03.10.2010,381575
04.10.2010,381575
05.10.2010,381575
06.10.2010,381575
07.10.2010,381575
08.10.2010,381575
09.10.2010,381575
10.10.2010,381575
11.10.2010,381575
12.10.2010,381575
13.10.2010,381575
14.10.2010,381575
15.10.2010,381575
16.10.2010,381575
17.10.2010,381575
18.10.2010,381575
19.10.2010,381575
20.10.2010,381575
21.10.2010,381575
22.10.2010,381575
23.10.2010,381575
24.10.2010,381575
25.10.2010,381600
26.10.2010,381600
27.10.2010,381600
28.10.2010,381600
29.10.2010,381593
30.10.2010,381593
31.10.2010,381513
01.11.2010,381694
02.11.2010,381600
03.11.2010,381607
04.11.2010,381349
05.11.2010,381349
06.11.2010,381349
07.11.2010,381342
08.11.2010,381422
09.11.2010,381422
10.11.2010,381422
11.11.2010,381429
12.11.2010,381415
13.11.2010,381429
14.11.2010,381422
15.11.2010,381422
16.11.2010,381422
17.11.2010,381429
18.11.2010,381429
19.11.2010,381429
20.11.2010,381429
